trade_id,symbol,instrument_type,position_type,action,position_state,entry_datetime,exit_datetime,entry_price,exit_price,entry_option_price,exit_option_price,lot_size,profit_loss,option_symbol,option_type,strike_price,cumulative_pnl
0,NIFTY,EQ,long,closed,closed,2025-09-01 09:30:00,2025-09-01 10:20:00,24532.75,24512.15,75.0,56.45,75,-1391.25,NIFTY2590224550CE,OTM,24550.0,-1391.25
1,NIFTY,EQ,long,closed,closed,2025-09-01 10:45:00,2025-09-01 15:00:00,24532.75,24625.1,75.0,108.3,75,2497.5,NIFTY2590224550CE,ITM,24550.0,1106.25
2,NIFTY,EQ,long,closed,closed,2025-09-02 09:35:00,2025-09-02 13:15:00,24685.3,24707.3,34.3,34.3,75,0.0,NIFTY2590224700CE,ATM,24700.0,1106.25
3,NIFTY,EQ,long,closed,closed,2025-09-02 13:30:00,2025-09-02 13:40:00,24685.3,24655.05,34.3,26.3,75,-600.0,NIFTY2590224700CE,ATM,24700.0,506.25
4,NIFTY,EQ,short,closed,closed,2025-09-02 13:50:00,2025-09-02 14:10:00,24632.2,24561.3,41.9,83.8,75,3142.5,NIFTY2590224650PE,ITM,24650.0,3648.75
5,NIFTY,EQ,long,closed,closed,2025-09-03 12:10:00,2025-09-03 12:55:00,24616.5,24599.25,121.25,108.55,75,-952.5,NIFTY2590924650CE,OTM,24650.0,2696.25
6,NIFTY,EQ,long,closed,closed,2025-09-03 13:20:00,2025-09-03 15:00:00,24616.5,24702.8,138.65,170.7,75,2403.75,NIFTY2590924600CE,ITM,24600.0,5100.0
7,NIFTY,EQ,short,closed,closed,2025-09-04 10:10:00,2025-09-04 10:20:00,24848.15,24873.75,96.1,96.1,75,0.0,NIFTY2590924850PE,ATM,24850.0,5100.0
8,NIFTY,EQ,short,closed,closed,2025-09-04 10:25:00,2025-09-04 12:40:00,24848.15,24819.35,96.1,106.1,75,750.0,NIFTY2590924850PE,ITM,24850.0,5850.0
9,NIFTY,EQ,short,closed,closed,2025-09-05 09:40:00,2025-09-05 10:15:00,24781.05,24650.45,88.6,180.6,75,6900.0,NIFTY2590924800PE,ITM,24800.0,12750.0
10,NIFTY,EQ,short,closed,closed,2025-09-05 14:00:00,2025-09-05 15:00:00,24781.05,24729.45,102.45,102.45,75,0.0,NIFTY2590924750PE,ITM,24750.0,12750.0
